TimeStamp,Record,Zone,Latitude,Longitude,Moisture,Period,Attenuation,Permittivity,Probe Model,,Sensor
7/15/19 7:15,320,ZONE 00001,39.1106,-96.61089,38.88,1.6988,1.8181,23.8419,CD659 12cm rods,,3543
7/15/19 7:17,321,"ZONE 00001, ZONE 00011",39.11058,-96.61116,41.71,1.7474,1.831,26.7794,CD659 12cm rods,,3543
7/15/19 7:17,322,"ZONE 00001, ZONE 00011",39.11055,-96.61146,40.59,1.7271,1.7911,25.5712,CD659 12cm rods,,3543
7/15/19 7:18,323,"ZONE 00001, ZONE 00011",39.11052,-96.61172,32.97,1.6005,1.5431,18.7675,CD659 12cm rods,,3543
7/15/19 7:18,324,ZONE 00011,39.11049,-96.612,25.61,1.4897,1.358,13.7717,CD659 12cm rods,,3543
7/15/19 7:19,325,ZONE 00011,39.11045,-96.61226,38.2,1.6852,1.7108,23.1861,CD659 12cm rods,,3543
7/15/19 7:19,326,ZONE 00011,39.11043,-96.61252,34.54,1.6253,1.5965,20.0018,CD659 12cm rods,,3543
7/15/19 7:20,327,[Unspecified Zone],39.11039,-96.61277,36.5,1.657,1.6592,21.6473,CD659 12cm rods,,3543
7/15/19 7:20,328,[Unspecified Zone],39.11037,-96.61309,36.54,1.6593,1.7286,21.6831,CD659 12cm rods,,3543
7/15/19 7:21,329,[Unspecified Zone],39.11037,-96.61337,29.05,1.5383,1.3339,15.9666,CD659 12cm rods,,3543
7/15/19 7:21,330,ZONE 00005,39.11034,-96.61362,31.05,1.5677,1.3116,17.3495,CD659 12cm rods,,3543
7/15/19 7:22,331,"ZONE 00005, ZONE 00006",39.1103,-96.6139,26.48,1.4988,1.2224,14.3097,CD659 12cm rods,,3543
7/15/19 7:22,332,"ZONE 00005, ZONE 00006",39.11029,-96.61418,29.17,1.5383,1.1995,16.0459,CD659 12cm rods,,3543
7/15/19 7:23,333,"ZONE 00005, ZONE 00006",39.11028,-96.61444,30.71,1.562,1.249,17.1101,CD659 12cm rods,,3543
7/15/19 7:23,334,"ZONE 00005, ZONE 00006",39.11026,-96.61467,20.99,1.4174,1.1443,11.138,CD659 12cm rods,,3543
7/15/19 7:24,335,"ZONE 00005, ZONE 00006",39.11027,-96.61485,23.26,1.4513,1.1857,12.3937,CD659 12cm rods,,3543
7/15/19 7:25,336,ZONE 00005,39.11048,-96.61485,23.46,1.4547,1.2045,12.5082,CD659 12cm rods,,3543
7/15/19 7:25,337,ZONE 00005,39.11049,-96.61458,24.43,1.4682,1.1885,13.07,CD659 12cm rods,,3543
7/15/19 7:26,338,ZONE 00005,39.1105,-96.61429,26.44,1.4976,1.1897,14.2849,CD659 12cm rods,,3543
7/15/19 7:26,339,ZONE 00005,39.11052,-96.61398,26.52,1.4999,1.2527,14.333,CD659 12cm rods,,3543
7/15/19 7:27,340,ZONE 00005,39.11052,-96.6137,25,1.4795,1.3043,13.4101,CD659 12cm rods,,3543
