TimeStamp,Record,Zone,Latitude,Longitude,Moisture,Period,Attenuation,Permittivity,Probe Model,,Sensor
7/29/19 8:02,1019,ZONE 00001,39.11061,-96.61086,23.87,1.4716,1.4901,12.7419,CD659 12cm rods,,3543
7/29/19 8:02,1020,"ZONE 00001, ZONE 00011",39.11057,-96.61117,19.23,1.3959,1.2335,10.2083,CD659 12cm rods,,3543
7/29/19 8:03,1021,"ZONE 00001, ZONE 00011",39.11055,-96.61142,16.1,1.3507,1.2145,8.6385,CD659 12cm rods,,3543
7/29/19 8:03,1022,"ZONE 00001, ZONE 00011",39.11052,-96.61169,8.97,1.2365,1.1113,5.4179,CD659 12cm rods,,3543
7/29/19 8:04,1023,ZONE 00011,39.1105,-96.61195,12.81,1.2976,1.1363,7.0976,CD659 12cm rods,,3543
7/29/19 8:05,1024,ZONE 00011,39.11048,-96.61221,18,1.3823,1.2979,9.5788,CD659 12cm rods,,3543
7/29/19 8:06,1025,ZONE 00011,39.11045,-96.61246,24.46,1.4739,1.3594,13.0904,CD659 12cm rods,,3543
7/29/19 8:06,1026,[Unspecified Zone],39.11042,-96.61275,22.52,1.4445,1.2957,11.9772,CD659 12cm rods,,3543
7/29/19 8:07,1027,[Unspecified Zone],39.1104,-96.61303,15.7,1.345,1.2152,8.444699,CD659 12cm rods,,3543
7/29/19 8:08,1028,[Unspecified Zone],39.11039,-96.61333,10.1,1.2535,1.1042,5.8977,CD659 12cm rods,,3543
7/29/19 8:08,1029,ZONE 00005,39.11038,-96.61359,15.23,1.336,1.1781,8.223001,CD659 12cm rods,,3543
7/29/19 8:09,1030,"ZONE 00005, ZONE 00006",39.11036,-96.61387,19.41,1.397,1.2044,10.3001,CD659 12cm rods,,3543
7/29/19 8:09,1031,"ZONE 00005, ZONE 00006",39.11035,-96.61416,14.07,1.3156,1.1267,7.6773,CD659 12cm rods,,3543
7/29/19 8:10,1032,"ZONE 00005, ZONE 00006",39.11034,-96.6144,12.19,1.284,1.0818,6.8174,CD659 12cm rods,,3543
7/29/19 8:11,1033,"ZONE 00005, ZONE 00006",39.11032,-96.61465,11.97,1.2817,1.0959,6.7197,CD659 12cm rods,,3543
7/29/19 8:11,1034,ZONE 00005,39.1103,-96.61484,13.28,1.3032,1.1172,7.3127,CD659 12cm rods,,3543
7/29/19 8:13,1035,ZONE 00005,39.11049,-96.61482,11.11,1.267,1.0794,6.3376,CD659 12cm rods,,3543
7/29/19 8:13,1036,ZONE 00005,39.11052,-96.61454,13.14,1.2998,1.0988,7.249599,CD659 12cm rods,,3543
7/29/19 8:14,1037,ZONE 00005,39.11053,-96.61427,10.84,1.2637,1.0877,6.2225,CD659 12cm rods,,3543
7/29/19 8:14,1038,ZONE 00005,39.11055,-96.61396,11.84,1.2806,1.1065,6.6621,CD659 12cm rods,,3543
7/29/19 8:15,1039,ZONE 00005,39.11056,-96.61366,18.09,1.3789,1.2156,9.625001,CD659 12cm rods,,3543
7/29/19 8:16,1040,ZONE 00004,39.11057,-96.61337,12.71,1.2964,1.1411,7.0518,CD659 12cm rods,,3543
7/29/19 8:16,1041,ZONE 00004,39.11059,-96.61307,18.23,1.3812,1.2215,9.694901,CD659 12cm rods,,3543
7/29/19 8:17,1042,[Unspecified Zone],39.11058,-96.6128,32.42,1.5926,1.5511,18.3533,CD659 12cm rods,,3543
7/29/19 8:17,1043,ZONE 00011,39.11061,-96.61252,19.2,1.3959,1.244,10.189,CD659 12cm rods,,3543
7/29/19 8:18,1044,ZONE 00011,39.11063,-96.61225,13.86,1.3134,1.1398,7.5783,CD659 12cm rods,,3543
7/29/19 8:18,1045,ZONE 00011,39.11064,-96.61196,15.33,1.336,1.1557,8.2696,CD659 12cm rods,,3543
7/29/19 8:19,1046,"ZONE 00001, ZONE 00002, ZONE 00011",39.11066,-96.61167,18.16,1.3789,1.1959,9.661001,CD659 12cm rods,,3543
7/29/19 8:19,1047,"ZONE 00001, ZONE 00002, ZONE 00011",39.11069,-96.6114,15.29,1.336,1.1652,8.25,CD659 12cm rods,,3543
7/29/19 8:20,1048,"ZONE 00001, ZONE 00002, ZONE 00011",39.11071,-96.61111,15.79,1.3462,1.212,8.4899,CD659 12cm rods,,3543
7/29/19 8:20,1049,"ZONE 00001, ZONE 00002",39.11073,-96.61089,11.86,1.284,1.1446,6.6696,CD659 12cm rods,,3543
7/29/19 8:22,1050,"ZONE 00001, ZONE 00002",39.11092,-96.61093,18.77,1.3948,1.3311,9.968,CD659 12cm rods,,3543
7/29/19 8:23,1051,"ZONE 00001, ZONE 00002",39.11089,-96.61121,11.54,1.2761,1.1063,6.5312,CD659 12cm rods,,3543
7/29/19 8:23,1052,"ZONE 00001, ZONE 00002, ZONE 00011",39.11088,-96.61154,25.54,1.4886,1.3526,13.7305,CD659 12cm rods,,3543
7/29/19 8:24,1053,"ZONE 00002, ZONE 00011",39.11088,-96.61189,22.59,1.4456,1.2998,12.016,CD659 12cm rods,,3543
7/29/19 8:25,1054,ZONE 00011,39.11086,-96.61217,18.22,1.3801,1.2027,9.6892,CD659 12cm rods,,3543
7/29/19 8:25,1055,[Unspecified Zone],39.11084,-96.6125,18.6,1.3857,1.2072,9.883901,CD659 12cm rods,,3543
7/29/19 8:26,1056,ZONE 00004,39.11083,-96.61279,21.22,1.4253,1.2698,11.2593,CD659 12cm rods,,3543
