lon,lat
-96.56097054,39.08361847
-96.56130343,39.08414686
-96.56169836,39.08457944
-96.56269275,39.08482258
-96.56292933,39.08522342
-96.56321276,39.08615233
-96.56433869,39.08717962
-96.56595726,39.08907942
-96.56756531,39.0899731
-96.56837041,39.09127518
-96.56963542,39.09129218
-96.57180457,39.09124622
-96.57297201,39.0918096
-96.57376795,39.09221892
-96.57503241,39.0931718
-96.5751826,39.09377667
-96.57528919,39.09418927
-96.57502207,39.09472542
-96.57481104,39.09518899
-96.57458594,39.09557502
-96.57413812,39.09590917
-96.57373807,39.09623351
-96.57346148,39.09655159
-96.57295043,39.09669611
-96.57269859,39.09682435
-96.57222465,39.09640484
-96.57163751,39.09608644
-96.57117048,39.09586106
-96.57101846,39.09598394
-96.57069249,39.09612901
-96.5699996,39.09611629
-96.56931407,39.0962344
-96.56879219,39.096386
-96.56842301,39.09649252
-96.56804243,39.09640601
-96.56696903,39.09623136
-96.5660908,39.09620406
-96.56535536,39.09629592
-96.56504977,39.0962398
-96.56477265,39.09606488
-96.56419336,39.09583341
-96.56256107,39.09616138
-96.56212578,39.09622107
-96.56175683,39.09622288
-96.56132115,39.09639725
-96.56111869,39.09672229
-96.5605768,39.09698993
-96.55925799,39.09720925
-96.55869603,39.0972453
-96.55839383,39.09737389
-96.55821404,39.0976723
-96.55786922,39.09766706
-96.55764815,39.09784962
-96.55728253,39.09754186
-96.55654775,39.09726135
-96.55631396,39.09656996
-96.55593836,39.09634338
-96.55545216,39.09609328
-96.55495951,39.09560794
-96.55487611,39.09509154
-96.55477676,39.09472857
-96.55427841,39.09450785
-96.55377856,39.09431838
-96.55352091,39.09401635
-96.55335211,39.09293694
-96.55319267,39.0906569
-96.55336041,39.08864682
-96.55282197,39.087449
-96.55328268,39.0867922
-96.55463764,39.086074
-96.5556187,39.08444676
-96.55589134,39.08388826
-96.55609438,39.08378445
-96.55717285,39.08383522
-96.5587031,39.0840061
-96.5593172,39.08408295
-96.55976817,39.08393522
-96.56097054,39.08361847
-96.56097054,39.08361847
