date,doy,rootzone,surface,eddi
16-Jun-2016 00:00:00,168,0.24383556842804,0.245114177465439,0.342221022
17-Jun-2016 00:00:00,169,0.265071958303452,0.254488468170166,0.414379239
18-Jun-2016 00:00:00,170,0.261040329933167,0.246764078736305,0.414379239
19-Jun-2016 00:00:00,171,0.259261757135391,0.250822901725769,0.414379239
20-Jun-2016 00:00:00,172,0.254722952842712,0.235408455133438,0.414379239
21-Jun-2016 00:00:00,173,0.252422779798508,0.235188692808151,0.414379239
22-Jun-2016 00:00:00,174,0.244738012552261,0.22280365228653,0.414379239
23-Jun-2016 00:00:00,175,0.239895939826965,0.216344848275185,0.342221022
24-Jun-2016 00:00:00,176,0.239872500300407,0.231918856501579,0.414379239
25-Jun-2016 00:00:00,177,0.237876310944557,0.228381738066673,0.414379239
26-Jun-2016 00:00:00,178,0.236981600522995,0.216666102409363,0.342221022
27-Jun-2016 00:00:00,179,0.242959201335907,0.239937454462051,0.271829486
28-Jun-2016 00:00:00,180,0.247655108571053,0.241533234715462,0.134745955
29-Jun-2016 00:00:00,181,0.251706540584564,0.240214794874191,0.0673623085
30-Jun-2016 00:00:00,182,0.265195727348328,0.256005525588989,0.0673623085
01-Jul-2016 00:00:00,183,0.265442252159119,0.252280086278915,0.0673623085
02-Jul-2016 00:00:00,184,0.273781567811966,0.300290137529373,0.000334739685
03-Jul-2016 00:00:00,185,0.300992697477341,0.349578589200974,-0.134069562
04-Jul-2016 00:00:00,186,0.325199544429779,0.341249734163284,-0.134069562
05-Jul-2016 00:00:00,187,0.313853710889816,0.326196044683456,-0.134069562
06-Jul-2016 00:00:00,188,0.326963186264038,0.342458754777908,-0.134069562
07-Jul-2016 00:00:00,189,0.32069593667984,0.332716256380081,-0.0666908026
08-Jul-2016 00:00:00,190,0.317676544189453,0.328801900148392,-0.20210731
09-Jul-2016 00:00:00,191,0.308395355939865,0.318801283836365,-0.20210731
10-Jul-2016 00:00:00,192,0.305741727352142,0.316599249839783,-0.20210731
11-Jul-2016 00:00:00,193,0.290257155895233,0.28764671087265,-0.0666908026
12-Jul-2016 00:00:00,194,0.284356594085693,0.277986168861389,-0.0666908026
13-Jul-2016 00:00:00,195,0.301154851913452,0.312819421291351,-0.134069562
14-Jul-2016 00:00:00,196,0.330591797828674,0.3532934486866,-0.0666908026
15-Jul-2016 00:00:00,197,0.325088560581207,0.340088993310928,-0.134069562
16-Jul-2016 00:00:00,198,0.320221215486526,0.33326718211174,-0.134069562
17-Jul-2016 00:00:00,199,0.309841811656952,0.318299680948257,-0.134069562
18-Jul-2016 00:00:00,200,0.304308414459229,0.311926633119583,-0.0666908026
19-Jul-2016 00:00:00,201,0.286188781261444,0.279054045677185,-0.0666908026
20-Jul-2016 00:00:00,202,0.278780728578568,0.266065239906311,-0.0666908026
21-Jul-2016 00:00:00,203,0.276266664266586,0.262974679470062,0.0673623085
22-Jul-2016 00:00:00,204,0.252198368310928,0.22848516702652,0.271829486
23-Jul-2016 00:00:00,205,0.251148492097855,0.230220019817352,0.342221022
24-Jul-2016 00:00:00,206,0.244562953710556,0.220843493938446,0.342221022
25-Jul-2016 00:00:00,207,0.241717055439949,0.24458010494709,0.414379239
26-Jul-2016 00:00:00,208,0.260217726230621,0.25200691819191,0.414379239
27-Jul-2016 00:00:00,209,0.298396676778793,0.308481156826019,0.342221022
28-Jul-2016 00:00:00,210,0.287506103515625,0.285509467124939,0.342221022
29-Jul-2016 00:00:00,211,0.282914847135544,0.27788770198822,0.342221022
30-Jul-2016 00:00:00,212,0.29302790760994,0.300166964530945,0.342221022
31-Jul-2016 00:00:00,213,0.290251046419144,0.296974450349808,0.342221022
01-Aug-2016 00:00:00,214,0.315420120954514,0.330470651388168,0.342221022
02-Aug-2016 00:00:00,215,0.315077155828476,0.326209217309952,0.342221022
03-Aug-2016 00:00:00,216,0.308922320604324,0.319763213396072,0.271829486
04-Aug-2016 00:00:00,217,0.302567362785339,0.309640288352966,0.271829486
05-Aug-2016 00:00:00,218,0.295785844326019,0.300757378339767,0.202791929
06-Aug-2016 00:00:00,219,0.305125147104263,0.319033920764923,0.202791929
