lat,lon
49.38298969,-95.15030929
49.32139858,-94.8162626
48.74121641,-94.6412863
48.51631,-93.79336681
48.63154065,-92.95478944
48.54255709,-92.63488699
48.46298139,-92.71268279
48.2215819,-92.36948302
48.35936401,-92.05521904
48.04379024,-91.56750809
48.24595426,-90.88575531
48.0909862,-90.75157729
48.00087498,-89.51674739
47.60658724,-90.77582534
46.65873267,-92.20918445
46.96242328,-90.85856081
46.88938629,-90.7510701
46.58940505,-90.94612291
46.65825176,-90.68661581
46.73165065,-90.80150452
46.55951177,-90.43832774
47.22916335,-88.63502045
46.99248635,-88.43691104
46.75350083,-88.49424169
46.96664948,-88.14482983
46.82088258,-88.2876361
46.87866485,-87.77994702
46.49523239,-87.33119571
46.41025791,-86.6428245
46.67038227,-86.1577903
46.77283619,-84.96464667
46.48268774,-85.02481468
46.48567917,-84.30189225
46.17503095,-84.25063368
45.95606992,-83.91377343
46.05337729,-84.65627576
45.83919733,-84.75421682
46.09645232,-85.50417958
45.9434609,-86.27579835
45.60072397,-86.61159996
45.67834497,-86.71794125
45.88655942,-86.53648395
45.66810282,-86.96720665
45.92058694,-86.96205315
44.71973683,-87.98362055
44.51996315,-88.0075506
44.85158358,-87.58156908
44.80653503,-87.33163262
45.16869857,-87.23711386
45.28018621,-86.97052915
44.55103202,-87.46845948
43.25039792,-87.91178116
42.78162566,-87.75869392
42.26881478,-87.82805529
41.71026519,-87.52722542
41.61952155,-87.30465804
41.84231938,-86.68205025
42.45368997,-86.25768224
43.25686674,-86.24328785
43.63919745,-86.5409962
44.06163221,-86.51313999
44.35532363,-86.19508589
44.69089519,-86.25521949
45.21093097,-85.54709625
44.85057553,-85.65225868
44.99133339,-85.4750653
44.74772038,-85.52675457
45.27107277,-85.37131201
45.39377886,-84.9153564
45.53979906,-85.11541777
45.7578432,-84.98712535
45.27188834,-83.38306034
44.33722216,-83.33347646
43.96126928,-83.87572292
43.71706163,-83.94004483
43.58463894,-83.68476052
43.91696507,-83.40284147
44.03362049,-82.81562157
42.97520918,-82.41866537
42.62663425,-82.51863337
42.64810543,-82.80616322
41.71020008,-83.49911483
41.60068196,-83.07484678
41.51620351,-82.93763854
41.49616422,-83.12426872
41.54052245,-82.7156929
41.42915532,-83.00976815
41.38084812,-82.48729313
41.49174192,-81.7303502
42.55142822,-79.15225707
42.78673489,-78.85338146
43.26342443,-79.06426579
43.37561942,-78.1045062
43.21554463,-76.9259834
43.52953381,-76.2349833
43.85574192,-76.29736875
43.99878305,-76.05937445
44.11234185,-76.39989041
44.97750875,-74.99281543
45.0134458,-71.50101934
45.2984121,-71.29586092
45.23477432,-70.83989379
45.8896173,-70.26121385
46.19147407,-70.29269268
46.69552281,-69.99712307
