date,cs655,cs229
10/23/2012,0.149,0.174
10/24/2012,0.144,0.163
10/25/2012,0.138,0.154
10/26/2012,0.134,0.147
10/27/2012,0.131,0.143
10/28/2012,0.127,0.14
10/29/2012,0.126,0.136
10/30/2012,0.124,0.134
10/31/2012,0.121,0.131
11/1/2012,0.118,0.129
11/2/2012,0.116,0.127
11/3/2012,0.113,0.125
11/4/2012,0.11,0.124
11/5/2012,0.109,0.122
11/6/2012,0.107,0.121
11/7/2012,0.106,0.12
11/8/2012,0.105,0.119
11/9/2012,0.104,0.12
11/10/2012,0.104,0.12
11/11/2012,0.204,0.121
11/12/2012,0.228,0.127
11/13/2012,0.215,0.134
11/14/2012,0.204,0.144
11/15/2012,0.195,0.156
11/16/2012,0.187,0.166
11/17/2012,0.18,0.171
11/18/2012,0.174,0.176
11/19/2012,0.17,0.183
11/20/2012,0.165,0.186
11/21/2012,0.16,0.188
11/22/2012,0.156,0.194
11/23/2012,0.15,0.192
11/24/2012,0.145,0.189
11/25/2012,0.142,0.191
11/26/2012,0.138,0.191
11/27/2012,0.135,0.189
11/28/2012,0.133,0.188
11/29/2012,0.131,0.19
11/30/2012,0.129,0.19
12/1/2012,0.127,0.191
12/2/2012,0.125,0.19
12/3/2012,0.124,0.191
12/4/2012,0.121,0.186
12/5/2012,0.118,0.181
12/6/2012,0.117,0.179
12/7/2012,0.115,0.178
12/8/2012,0.114,0.174
12/9/2012,0.113,0.171
12/10/2012,0.111,0.165
12/11/2012,0.111,0.162
12/12/2012,0.11,0.16
12/13/2012,0.11,0.159
12/14/2012,0.109,0.157
12/15/2012,0.109,0.155
12/16/2012,0.109,0.152
12/17/2012,0.109,0.149
12/18/2012,0.109,0.147
12/19/2012,0.109,0.146
12/20/2012,0.107,0.144
12/21/2012,0.106,0.141
12/22/2012,0.106,0.14
12/23/2012,0.105,0.139
12/24/2012,0.104,0.137
12/25/2012,0.103,0.135
12/26/2012,0.102,0.133
12/27/2012,0.102,0.132
12/28/2012,0.102,0.131
12/29/2012,0.102,0.13
12/30/2012,0.102,0.129
12/31/2012,0.162,0.129
1/1/2013,0.203,0.131
1/2/2013,0.183,0.133
1/3/2013,0.183,0.137
1/4/2013,0.174,0.14
1/5/2013,0.182,0.147
1/6/2013,0.178,0.152
1/7/2013,0.174,0.156
1/8/2013,0.174,0.161
1/9/2013,0.173,0.167
1/10/2013,0.231,0.173
1/11/2013,0.234,0.178
1/12/2013,0.22,0.183
1/13/2013,0.198,0.184
1/14/2013,0.168,0.189
1/15/2013,0.187,0.197
1/16/2013,0.173,0.201
1/17/2013,0.198,0.209
1/18/2013,0.197,0.214
1/19/2013,0.194,0.22
1/20/2013,0.19,0.222
1/21/2013,0.185,0.225
1/22/2013,0.181,0.226
1/23/2013,0.18,0.228
1/24/2013,0.176,0.231
1/25/2013,0.173,0.23
1/26/2013,0.171,0.231
1/27/2013,0.17,0.234
1/28/2013,0.171,0.238
1/29/2013,0.27,0.252
1/30/2013,0.296,0.284
1/31/2013,0.268,0.302
2/1/2013,0.246,0.311
2/2/2013,0.244,0.317
2/3/2013,0.238,0.32
2/4/2013,0.231,0.322
2/5/2013,0.223,0.323
2/6/2013,0.218,0.322
2/7/2013,0.217,0.323
2/8/2013,0.213,0.322
2/9/2013,0.209,0.32
2/10/2013,0.221,0.32
2/11/2013,0.217,0.32
2/12/2013,0.247,0.321
2/13/2013,0.305,0.338
2/14/2013,0.285,0.342
2/15/2013,0.271,0.342
2/16/2013,0.26,0.342
2/17/2013,0.253,0.341
2/18/2013,0.244,0.341
2/19/2013,0.236,0.34
2/20/2013,0.27,0.34
2/21/2013,0.346,0.344
2/22/2013,0.309,0.344
2/23/2013,0.304,0.344
2/24/2013,0.3,0.344
2/25/2013,0.345,0.345
2/26/2013,0.354,0.345
2/27/2013,0.326,0.345
2/28/2013,0.304,0.344
3/1/2013,0.293,0.344
3/2/2013,0.278,0.343
3/3/2013,0.273,0.342
3/4/2013,0.261,0.342
3/5/2013,0.25,0.342
3/6/2013,0.242,0.34
3/7/2013,0.238,0.339
3/8/2013,0.232,0.338
3/9/2013,0.23,0.337
3/10/2013,0.232,0.336
3/11/2013,0.23,0.334
3/12/2013,0.227,0.333
3/13/2013,0.223,0.332
3/14/2013,0.219,0.331
3/15/2013,0.214,0.331
3/16/2013,0.209,0.33
3/17/2013,0.202,0.327
3/18/2013,0.199,0.325
3/19/2013,0.195,0.324
3/20/2013,0.192,0.321
3/21/2013,0.188,0.32
3/22/2013,0.185,0.317
3/23/2013,0.184,0.314
3/24/2013,0.187,0.311
3/25/2013,0.191,0.309
3/26/2013,0.192,0.307
3/27/2013,0.191,0.308
3/28/2013,0.189,0.309
3/29/2013,0.187,0.31
3/30/2013,0.193,0.312
3/31/2013,0.197,0.312
4/1/2013,0.191,0.313
4/2/2013,0.25,0.319
4/3/2013,0.374,0.345
4/4/2013,0.413,0.345
4/5/2013,0.383,0.345
4/6/2013,0.357,0.345
4/7/2013,0.343,0.345
4/8/2013,0.331,0.344
4/9/2013,0.312,0.344
4/10/2013,0.383,0.345
4/11/2013,0.384,0.345
4/12/2013,0.356,0.345
4/13/2013,0.354,0.346
4/14/2013,0.342,0.346
4/15/2013,0.34,0.346
4/16/2013,0.322,0.346
4/17/2013,0.332,0.345
4/18/2013,0.395,0.346
4/19/2013,0.366,0.345
4/20/2013,0.341,0.345
4/21/2013,0.312,0.345
4/22/2013,0.286,0.344
4/23/2013,0.298,0.342
4/24/2013,0.29,0.342
4/25/2013,0.269,0.341
4/26/2013,0.265,0.34
4/27/2013,0.322,0.345
4/28/2013,0.303,0.345
4/29/2013,0.276,0.345
4/30/2013,0.25,0.345
5/1/2013,0.23,0.342
5/2/2013,0.223,0.338
5/3/2013,0.234,0.336
5/4/2013,0.225,0.335
5/5/2013,0.22,0.334
5/6/2013,0.213,0.333
5/7/2013,0.2,0.331
5/8/2013,0.183,0.328
5/9/2013,0.295,0.344
5/10/2013,0.3,0.346
5/11/2013,0.277,0.345
5/12/2013,0.25,0.344
5/13/2013,0.225,0.344
5/14/2013,0.192,0.34
5/15/2013,0.169,0.333
5/16/2013,0.166,0.329
5/17/2013,0.163,0.326
5/18/2013,0.159,0.325
5/19/2013,0.149,0.318
5/20/2013,0.143,0.311
5/21/2013,0.14,0.304
5/22/2013,0.143,0.303
5/23/2013,0.196,0.325
5/24/2013,0.261,0.349
5/25/2013,0.232,0.348
5/26/2013,0.208,0.346
5/27/2013,0.184,0.34
5/28/2013,0.161,0.327
5/29/2013,0.169,0.323
5/30/2013,0.4,0.351
5/31/2013,0.394,0.351
6/1/2013,0.391,0.351
6/2/2013,0.361,0.35
6/3/2013,0.331,0.348
6/4/2013,0.358,0.349
6/5/2013,0.39,0.351
6/6/2013,0.369,0.351
6/7/2013,0.339,NaN
6/8/2013,0.302,NaN
6/9/2013,0.272,NaN
6/10/2013,0.227,NaN
6/11/2013,0.178,NaN
6/12/2013,0.145,NaN
6/13/2013,0.133,NaN
6/14/2013,0.127,NaN
6/15/2013,0.223,NaN
6/16/2013,0.298,NaN
6/17/2013,0.379,NaN
6/18/2013,0.354,NaN
6/19/2013,0.322,0.348
6/20/2013,0.28,0.339
6/21/2013,0.223,0.318
6/22/2013,0.178,0.289
6/23/2013,0.148,0.254
6/24/2013,0.134,0.225
6/25/2013,0.128,0.216
6/26/2013,0.126,0.212
6/27/2013,0.124,0.202
6/28/2013,0.123,0.189
6/29/2013,0.122,0.181
6/30/2013,0.12,0.175
7/1/2013,0.118,0.169
7/2/2013,0.117,0.163
7/3/2013,0.116,0.157
7/4/2013,0.115,0.153
7/5/2013,0.113,0.147
7/6/2013,0.113,0.145
7/7/2013,0.113,0.143
7/8/2013,0.112,0.142
7/9/2013,0.111,0.14
7/10/2013,0.109,0.138
7/11/2013,0.109,0.138
7/12/2013,0.11,0.14
7/13/2013,0.109,0.141
7/14/2013,0.243,0.278
7/15/2013,0.314,0.351
7/16/2013,0.301,0.351
7/17/2013,0.272,0.351
7/18/2013,0.22,0.349
7/19/2013,0.168,0.343
7/20/2013,0.133,0.332
7/21/2013,0.121,0.321
7/22/2013,0.118,0.309
7/23/2013,0.114,0.289
7/24/2013,0.134,0.263
7/25/2013,0.123,0.252
7/26/2013,0.275,0.336
7/27/2013,0.271,0.35
7/28/2013,0.22,0.348
7/29/2013,0.189,0.344
7/30/2013,0.329,0.35
7/31/2013,0.288,0.35
8/1/2013,0.245,0.347
8/2/2013,0.204,0.34
8/3/2013,0.17,0.335
8/4/2013,0.147,0.328
8/5/2013,0.131,0.321
8/6/2013,0.122,0.313
8/7/2013,0.119,0.303
8/8/2013,0.187,0.295
8/9/2013,0.314,0.35
8/10/2013,0.282,0.351
8/11/2013,0.246,0.35
8/12/2013,0.222,0.348
8/13/2013,0.335,0.35
8/14/2013,0.323,0.351
8/15/2013,0.296,0.35
8/16/2013,0.346,0.351
8/17/2013,0.316,0.35
8/18/2013,0.287,0.349
8/19/2013,0.254,0.347
8/20/2013,0.221,0.342
8/21/2013,0.187,0.335
8/22/2013,0.159,0.325
8/23/2013,0.141,0.312
8/24/2013,0.131,0.294
8/25/2013,0.129,0.274
8/26/2013,0.126,0.246
8/27/2013,0.123,0.215
8/28/2013,0.122,0.193
8/29/2013,0.121,0.177
8/30/2013,0.119,0.166
8/31/2013,0.118,0.158
9/1/2013,0.116,0.153
9/2/2013,0.116,0.15
9/3/2013,0.115,0.147
9/4/2013,0.114,0.144
9/5/2013,0.113,0.144
9/6/2013,0.113,0.142
9/7/2013,0.112,0.141
9/8/2013,0.111,0.139
9/9/2013,0.11,0.137
9/10/2013,0.109,0.136
9/11/2013,0.108,0.135
9/12/2013,0.108,0.134
9/13/2013,0.107,0.136
9/14/2013,0.107,0.137
9/15/2013,0.106,0.138
9/16/2013,0.108,0.14
9/17/2013,0.111,0.143
9/18/2013,0.111,0.145
9/19/2013,0.11,0.144
9/20/2013,0.108,0.142
9/21/2013,0.107,0.139
9/22/2013,0.107,0.138
9/23/2013,0.106,0.136
9/24/2013,0.105,0.136
9/25/2013,0.104,0.135
9/26/2013,0.105,0.134
9/27/2013,0.105,0.134
9/28/2013,0.236,0.191
9/29/2013,0.274,0.272
9/30/2013,0.25,0.294
10/1/2013,0.227,0.304
10/2/2013,0.207,0.308
10/3/2013,0.186,0.308
10/4/2013,0.165,0.305
10/5/2013,0.297,0.311
10/6/2013,0.271,0.328
10/7/2013,0.249,0.334
10/8/2013,0.229,0.335
10/9/2013,0.21,0.334
10/10/2013,0.194,0.334
10/11/2013,0.176,0.332
10/12/2013,0.159,0.329
10/13/2013,0.146,0.326
10/14/2013,0.193,0.324
10/15/2013,0.25,0.333
10/16/2013,0.236,0.343
10/17/2013,0.224,0.346
10/18/2013,0.218,0.345
10/19/2013,0.227,0.345
10/20/2013,0.213,0.346
10/21/2013,0.198,0.345
10/22/2013,0.184,0.344
10/23/2013,0.171,0.343
10/24/2013,0.16,0.341
10/25/2013,0.15,0.339
10/26/2013,0.143,0.336
10/27/2013,0.137,0.334
10/28/2013,0.131,0.332
10/29/2013,0.129,0.331
10/30/2013,0.127,0.329
10/31/2013,0.13,0.327
11/1/2013,0.131,0.328
11/2/2013,0.129,0.328
11/3/2013,0.126,0.328
11/4/2013,0.125,0.327
11/5/2013,0.144,0.33
11/6/2013,0.318,0.347
11/7/2013,0.301,0.347
11/8/2013,0.29,0.347
11/9/2013,0.278,0.346
11/10/2013,0.271,0.346
11/11/2013,0.266,0.345
11/12/2013,0.256,0.344
11/13/2013,0.247,0.342
11/14/2013,0.242,0.341
11/15/2013,0.237,0.34
11/16/2013,0.236,0.338
11/17/2013,0.232,0.337
11/18/2013,0.223,0.334
11/19/2013,0.217,0.332
11/20/2013,0.212,0.329
11/21/2013,0.208,0.326
11/22/2013,0.205,0.321
11/23/2013,0.225,0.318
11/24/2013,0.226,0.315
11/25/2013,0.23,0.314
11/26/2013,0.229,0.313
11/27/2013,0.225,0.311
11/28/2013,0.222,0.31
11/29/2013,0.22,0.309
11/30/2013,0.217,0.307
12/1/2013,0.215,0.306
12/2/2013,0.214,0.306
12/3/2013,0.212,0.306
12/4/2013,0.21,0.303
12/5/2013,0.205,0.3
12/6/2013,0.202,0.296
12/7/2013,0.204,0.295
12/8/2013,0.209,0.293
12/9/2013,0.216,0.293
12/10/2013,0.23,0.316
12/11/2013,0.251,0.345
12/12/2013,0.246,0.344
12/13/2013,0.252,0.344
12/14/2013,0.251,0.342
12/15/2013,0.246,0.341
12/16/2013,0.245,0.34
12/17/2013,0.242,0.337
12/18/2013,0.238,0.336
12/19/2013,0.236,0.335
12/20/2013,0.232,0.332
12/21/2013,0.295,0.346
12/22/2013,0.297,0.346
12/23/2013,0.286,0.346
12/24/2013,0.302,0.346
12/25/2013,0.326,0.346
12/26/2013,0.319,0.346
12/27/2013,0.316,0.346
12/28/2013,0.313,0.346
12/29/2013,0.309,0.346
12/30/2013,0.294,0.345
12/31/2013,0.294,0.345
1/1/2014,0.296,0.345
1/2/2014,0.285,0.344
1/3/2014,0.283,0.344
1/4/2014,0.286,0.344
1/5/2014,0.285,0.343
1/6/2014,0.283,0.342
1/7/2014,0.287,0.342
1/8/2014,0.299,0.342
1/9/2014,0.303,0.343
1/10/2014,0.304,0.344
1/11/2014,0.302,0.344
1/12/2014,0.298,0.344
1/13/2014,0.292,0.344
1/14/2014,0.287,0.343
1/15/2014,0.283,0.342
1/16/2014,0.28,0.342
1/17/2014,0.274,0.34
1/18/2014,0.269,0.34
1/19/2014,0.264,0.338
1/20/2014,0.26,0.337
1/21/2014,0.254,0.335
1/22/2014,0.25,0.333
1/23/2014,0.246,0.331
1/24/2014,0.214,NaN
1/25/2014,0.239,0.327
1/26/2014,0.238,0.326
1/27/2014,0.233,0.324
1/28/2014,0.229,0.322
1/29/2014,0.226,NaN
1/30/2014,0.227,0.318
1/31/2014,0.226,0.316
2/1/2014,0.224,0.314
2/2/2014,0.222,0.312
2/3/2014,0.218,NaN
2/4/2014,0.221,0.307
2/5/2014,0.229,NaN
2/6/2014,0.193,NaN
2/7/2014,0.186,NaN
2/8/2014,0.216,NaN
2/9/2014,0.228,0.299
2/10/2014,0.239,NaN
2/11/2014,0.251,NaN
2/12/2014,0.253,NaN
2/13/2014,0.255,NaN
2/14/2014,0.254,0.306
2/15/2014,0.248,0.307
2/16/2014,0.243,0.308
2/17/2014,0.24,0.31
2/18/2014,0.234,0.31
2/19/2014,0.23,0.31
2/20/2014,0.23,0.31
2/21/2014,0.226,0.308
2/22/2014,0.222,0.307
2/23/2014,0.218,0.306
2/24/2014,0.213,0.305
2/25/2014,0.209,0.303
2/26/2014,0.205,0.3
2/27/2014,0.202,0.298
2/28/2014,0.202,0.299
3/1/2014,0.203,0.297
3/2/2014,0.201,0.295
3/3/2014,0.203,0.293
3/4/2014,0.258,0.315
3/5/2014,0.29,0.344
3/6/2014,0.314,0.346
3/7/2014,0.307,0.346
3/8/2014,0.306,0.346
3/9/2014,0.307,0.346
3/10/2014,0.298,0.346
3/11/2014,0.287,0.346
3/12/2014,0.275,0.345
3/13/2014,0.265,0.345
3/14/2014,0.256,0.343
3/15/2014,0.251,0.343
3/16/2014,0.34,0.347
3/17/2014,0.327,0.347
3/18/2014,0.313,0.346
3/19/2014,0.298,0.346
3/20/2014,0.286,0.346
3/21/2014,0.274,0.346
3/22/2014,0.262,0.345
3/23/2014,0.251,0.344
3/24/2014,0.243,0.342
3/25/2014,0.233,0.341
3/26/2014,0.232,0.339
3/27/2014,0.248,0.339
3/28/2014,0.238,0.34
3/29/2014,0.227,0.34
3/30/2014,0.216,0.338
3/31/2014,0.202,0.337
4/1/2014,0.189,0.335
4/2/2014,0.18,0.332
4/3/2014,0.168,0.33
4/4/2014,0.157,0.325
4/5/2014,0.15,0.32
4/6/2014,0.144,0.315
4/7/2014,0.144,0.31
4/8/2014,0.142,0.306
4/9/2014,0.139,0.302
4/10/2014,0.135,0.3
4/11/2014,0.132,0.295
4/12/2014,0.129,0.289
4/13/2014,0.142,0.311
4/14/2014,0.173,0.346
4/15/2014,0.167,0.344
4/16/2014,0.156,0.341
4/17/2014,0.145,0.337
4/18/2014,0.14,0.333
4/19/2014,0.133,0.326
4/20/2014,0.128,0.318
4/21/2014,0.128,0.311
4/22/2014,0.126,0.302
4/23/2014,0.124,0.291
4/24/2014,0.125,0.304
4/25/2014,0.124,0.299
4/26/2014,0.123,0.291
4/27/2014,0.153,0.33
4/28/2014,0.157,0.342
4/29/2014,0.143,0.337
4/30/2014,0.135,0.332
5/1/2014,0.128,0.325
5/2/2014,0.124,0.317
5/3/2014,0.121,0.304
5/4/2014,0.119,0.283
5/5/2014,0.116,0.253
5/6/2014,0.114,0.221
5/7/2014,0.112,0.192
5/8/2014,0.112,0.174
5/9/2014,0.113,0.163
5/10/2014,0.113,0.157
5/11/2014,0.112,0.152
5/12/2014,0.109,0.148
5/13/2014,0.108,0.145
5/14/2014,0.108,0.142
5/15/2014,0.107,0.14
5/16/2014,0.107,0.138
5/17/2014,0.105,0.136
5/18/2014,0.106,0.135
5/19/2014,0.107,0.135
5/20/2014,0.107,0.134
5/21/2014,0.106,0.133
5/22/2014,0.106,0.132
5/23/2014,0.105,0.13
5/24/2014,0.106,0.13
5/25/2014,0.107,0.131
5/26/2014,0.108,0.132
5/27/2014,0.109,0.133
5/28/2014,0.11,0.135
5/29/2014,0.111,0.136
5/30/2014,0.111,0.137
5/31/2014,0.11,0.14
6/1/2014,0.11,0.141
6/2/2014,0.315,0.336
6/3/2014,0.305,0.35
6/4/2014,0.272,0.349
6/5/2014,0.256,0.346
6/6/2014,0.278,0.349
6/7/2014,0.355,0.35
6/8/2014,0.379,0.35
6/9/2014,0.377,0.351
6/10/2014,0.362,0.35
6/11/2014,0.336,0.349
6/12/2014,0.386,0.35
6/13/2014,0.357,0.35
6/14/2014,0.323,0.347
6/15/2014,0.283,0.342
6/16/2014,0.242,0.333
6/17/2014,0.196,0.319
6/18/2014,0.158,0.3
6/19/2014,0.141,0.29
6/20/2014,0.137,0.282
6/21/2014,0.131,0.258
6/22/2014,0.127,0.223
6/23/2014,0.221,0.326
6/24/2014,0.207,0.341
6/25/2014,0.181,0.332
6/26/2014,0.156,0.319
6/27/2014,0.139,0.301
6/28/2014,0.207,0.324
6/29/2014,0.276,0.35
6/30/2014,0.232,0.347
7/1/2014,0.191,0.338
7/2/2014,0.165,0.327
7/3/2014,0.144,0.309
7/4/2014,0.132,0.282
7/5/2014,0.127,0.244
7/6/2014,0.123,0.198
7/7/2014,0.12,0.17
7/8/2014,0.117,0.158
7/9/2014,0.115,0.152
7/10/2014,0.183,0.211
7/11/2014,0.189,0.246
7/12/2014,0.142,0.216
7/13/2014,0.122,0.18
7/14/2014,0.118,0.162
7/15/2014,0.114,0.153
7/16/2014,0.167,0.186
7/17/2014,0.363,0.349
7/18/2014,0.358,0.35
7/19/2014,0.344,0.35
7/20/2014,0.324,0.349
7/21/2014,0.296,0.345
7/22/2014,0.261,0.338
7/23/2014,0.227,0.328
7/24/2014,0.199,0.316
7/25/2014,0.172,0.3
7/26/2014,0.149,0.276
7/27/2014,0.137,0.239
7/28/2014,0.131,NaN
7/29/2014,0.127,0.206
7/30/2014,0.184,0.243
7/31/2014,0.291,0.35
8/1/2014,0.269,0.351
8/2/2014,0.232,0.349
8/3/2014,0.195,0.346
8/4/2014,0.16,0.341
8/5/2014,0.137,0.334
8/6/2014,0.127,0.325
8/7/2014,0.124,0.318
8/8/2014,0.281,0.344
8/9/2014,0.297,0.351
8/10/2014,0.262,0.349
8/11/2014,0.225,0.346
8/12/2014,0.192,0.34
8/13/2014,0.165,0.332
8/14/2014,0.145,0.321
8/15/2014,0.133,0.307
8/16/2014,0.128,0.293
8/17/2014,0.124,0.274
8/18/2014,0.275,0.342
8/19/2014,0.285,0.351
8/20/2014,0.239,0.348
8/21/2014,0.196,0.341
8/22/2014,0.157,0.33
8/23/2014,0.133,0.311
8/24/2014,0.125,0.284
8/25/2014,0.121,0.246
8/26/2014,0.119,0.199
8/27/2014,0.117,0.174
8/28/2014,0.116,0.162
8/29/2014,0.114,0.156
8/30/2014,0.115,0.153
8/31/2014,0.114,0.15
9/1/2014,0.113,0.148
9/2/2014,0.147,0.218
