country,year,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Germany,area,1774630,1742400,1808210,1880080,1902600,1872840,1947140,2033860,2054490,2091560,2177680,2315880,2299050,2359550,2257530,2393380,2330290,2305180,2339500,2374810,2306460,2168640,2409210,2380860,2367540,2396840,2418960,2508700,2553730,2429610,2453330,2598470,2394600,2445800,2578800,2594420,2727900,2802460,2601120,2968940,2897200,3014620,2963730,3111650,3173800,3114700,2992080,3213490,3226040,3297700,3248200
Germany,production,5076710,5906470,6135980,6551200,6149340,6053960,7830620,8575080,7987160,7794040,9631770,9351590,9995660,10914600,9749840,9416600,10149100,11265100,11177100,11253900,11254900,11370900,12548200,14126000,13801500,14601300,13971200,15620700,14509100,15241900,16612000,15541700,15766500,16538600,17763000,18921700,19826800,20187500,19615400,21621500,22837800,20817700,19259800,25427200,23692700,22427900,20828100,25988600,25192400,24106700,22800000
Germany,yield,28607,33898,33934,34845,32321,32325,40216,42162,38877,37264,44230,40380,43477,46257,43188,39344,43553,48869,47776,47389,48797,52433,52084,59332,58295,60919,57757,62266,56815,62734,67712,59811,65842,67620,68881,72932,72682,72035,75411,72826,78827,69056,64985,81716,74651,72007,69611,80873,78091,73102,70193
Mexico,area,836538,747728,819210,818325,858259,730793,778374,790646,841279,886169,614180,686665,640456,774149,778237,894140,708863,759526,584226,723804,859760,1008060,857043,1033850,1217080,1202230,988097,912762,1144180,932763,983892,915882,877598,964572,929331,809240,772303,768844,652312,707768,687248,634559,604700,517300,634548,646231,691679,801735,828408,678550,662221
Mexico,production,1401910,1455260,1702990,2203070,2150350,1647370,2122390,2080730,2326060,2676450,1830850,1809020,2090850,2788680,2798220,3363300,2455770,2784660,2286530,2784910,3193230,4391420,3463300,4505250,5214320,4769410,4415390,3665130,4374740,3930930,4060740,3620500,3582450,4150920,3468220,3375010,3656590,3235080,3020890,3493210,3275460,3236180,2715800,2321200,3015180,3378120,3515390,4019400,4116160,3676710,3627510
Mexico,yield,16758,19462,20788,26922,25055,22542,27267,26317,27649,30202,29810,26345,32646,36023,35956,37615,34644,36663,39138,38476,37141,43563,40410,43577,42843,39671,44686,40154,38235,42143,41272,39530,40821,43034,37320,41706,47347,42077,46311,49355,47661,50999,44912,44871,47517,52274,50824,50134,49688,54185,54778
UK,area,739000,913000,780000,893000,1026000,906174,933214,978269,833205,1010390,1097430,1127410,1146410,1233430,1035430,1231000,1076230,1258420,1370760,1440910,1491000,1663000,1695000,1939000,1902000,1997000,1994000,1886000,2083000,2013000,1980500,2067000,1759000,1811000,1859000,1976000,2036000,2045000,1847000,2086000,1635000,1996000,1837000,1990000,1867000,1835000,1830000,2080210,1775000,1939000,1969000
UK,production,2614000,3974000,3046000,3793000,4171000,3475650,3903810,3470000,3364750,4237460,4816560,4781540,5004540,6131590,4488000,4740000,5274160,6610000,7168000,8470000,8710000,10320000,10800000,14970000,12046000,13911000,11940000,11720000,14033000,14033000,14363000,14095000,12890000,13316000,14312000,16100000,15018000,15449000,14867000,16704000,11580000,15973000,14288000,15473000,14863000,14747000,13221000,17227000,14076000,14878000,15257000
UK,yield,35372,43527,39051,42475,40653,38355,41832,35471,40383,41939,43889,42412,43654,49712,43344,38505,49006,52526,52292,58782,58417,62057,63717,77205,63333,69659,59880,62142,67369,69712,72522,68191,73280,73528,76988,81478,73762,75545,80493,80077,70826,80025,77779,77754,79609,80365,72246,82814,79301,76730,77486
US,area,20870000,17680000,18415000,20138000,20056000,20077400,23614300,22162300,19079000,17629500,19297200,19142600,21912600,26453100,28124800,28702700,26986500,22863000,25274500,28783600,32635000,31540300,24843300,27085000,26184000,24559000,22646000,21525000,25167000,27965000,23392000,25398800,25378900,24997000,24685000,25414000,25414000,23878000,21781000,21474100,19616500,18544500,21474100,20222000,20276600,18939500,20638800,22540800,20191200,19270900,18496400
US,production,33539000,29718000,31211900,34928000,35805000,35513900,41030800,42365400,39264000,36784000,44052800,42081600,46560800,48496700,57886400,58481200,55671100,48322700,58080600,64799500,75806300,75251300,65857900,70618000,65975000,56897000,57361800,49320000,55428000,74294000,53890000,67136000,65222000,63168000,59404000,61982000,67536000,69327000,62567300,60639400,52999900,43704000,63803300,58697000,57242000,49216000,55820400,68016100,60365700,60062400,54413300
US,yield,16070,16809,16949,17344,17853,17689,17375,19116,20580,20865,22829,21983,21248,18333,20582,20375,20629,21136,22980,22513,23229,23859,26509,26073,25197,23167,25330,22913,22024,26567,23038,26433,25699,25270,24065,24389,26574,29034,28726,28238,27018,23567,29712,29026,28231,25986,27046,30175,29897,31167,29418
