timestamp,sample_mass
10/18/17 17:21,297.1
10/18/17 17:26,297
10/18/17 17:31,297
10/18/17 17:36,297
10/18/17 17:41,296.9
10/18/17 17:46,296.9
10/18/17 17:51,296.8
10/18/17 17:55,296.8
10/18/17 18:00,296.7
10/18/17 18:05,296.7
10/18/17 18:10,296.7
10/18/17 18:15,296.6
10/18/17 18:20,296.5
10/18/17 18:25,296.5
10/18/17 18:30,296.4
10/18/17 18:35,296.4
10/18/17 18:39,296.3
10/18/17 18:44,296.3
10/18/17 18:49,296.2
10/18/17 18:54,296.1
10/18/17 18:59,296.1
10/18/17 19:04,296.1
10/18/17 19:09,296
10/18/17 19:14,295.9
10/18/17 19:19,295.9
10/18/17 19:23,295.8
10/18/17 19:28,295.8
10/18/17 19:33,295.7
10/18/17 19:38,295.7
10/18/17 19:43,295.6
10/18/17 19:48,295.5
10/18/17 19:53,295.5
10/18/17 19:58,295.5
10/18/17 20:03,295.4
10/18/17 20:07,295.3
10/18/17 20:12,295.3
10/18/17 20:17,295.2
10/18/17 20:22,295.2
10/18/17 20:27,295.1
10/18/17 20:32,295.1
10/18/17 20:37,295
10/18/17 20:42,294.9
10/18/17 20:47,294.9
10/18/17 20:51,294.8
10/18/17 20:56,294.8
10/18/17 21:01,294.7
10/18/17 21:06,294.7
10/18/17 21:11,294.6
10/18/17 21:16,294.6
10/18/17 21:21,294.5
10/18/17 21:26,294.5
10/18/17 21:31,294.4
10/18/17 21:35,294.3
10/18/17 21:40,294.3
10/18/17 21:45,294.3
10/18/17 21:50,294.2
10/18/17 21:55,294.1
10/18/17 22:00,294.1
10/18/17 22:05,294
10/18/17 22:10,294
10/18/17 22:15,293.9
10/18/17 22:19,293.9
10/18/17 22:24,293.8
10/18/17 22:29,293.7
10/18/17 22:34,293.7
10/18/17 22:39,293.7
10/18/17 22:44,293.6
10/18/17 22:49,293.6
10/18/17 22:54,293.5
10/18/17 22:59,293.4
10/18/17 23:03,293.4
10/18/17 23:08,293.3
10/18/17 23:13,293.3
10/18/17 23:18,293.2
10/18/17 23:23,293.2
10/18/17 23:28,293.1
10/18/17 23:33,293.1
10/18/17 23:38,293
10/18/17 23:43,293
10/18/17 23:47,292.9
10/18/17 23:52,292.9
10/18/17 23:57,292.8
10/19/17 0:02,292.7
10/19/17 0:07,292.7
10/19/17 0:12,292.7
10/19/17 0:17,292.6
10/19/17 0:22,292.5
10/19/17 0:27,292.5
10/19/17 0:31,292.4
10/19/17 0:36,292.4
10/19/17 0:41,292.3
10/19/17 0:46,292.3
10/19/17 0:51,292.2
10/19/17 0:56,292.2
10/19/17 1:01,292.1
10/19/17 1:06,292.1
10/19/17 1:11,292
10/19/17 1:16,292
10/19/17 1:20,291.9
10/19/17 1:25,291.9
10/19/17 1:30,291.8
10/19/17 1:35,291.8
10/19/17 1:40,291.7
10/19/17 1:45,291.6
10/19/17 1:50,291.6
10/19/17 1:55,291.5
10/19/17 2:00,291.5
10/19/17 2:04,291.5
10/19/17 2:09,291.4
10/19/17 2:14,291.3
10/19/17 2:19,291.3
10/19/17 2:24,291.2
10/19/17 2:29,291.2
10/19/17 2:34,291.1
10/19/17 2:39,291.1
10/19/17 2:44,291
10/19/17 2:48,291
10/19/17 2:53,290.9
10/19/17 2:58,290.9
10/19/17 3:03,290.8
10/19/17 3:08,290.8
10/19/17 3:13,290.7
10/19/17 3:18,290.7
10/19/17 3:23,290.6
10/19/17 3:28,290.6
10/19/17 3:32,290.5
10/19/17 3:37,290.5
10/19/17 3:42,290.4
10/19/17 3:47,290.4
10/19/17 3:52,290.3
10/19/17 3:57,290.2
10/19/17 4:02,290.2
10/19/17 4:07,290.2
10/19/17 4:12,290.1
10/19/17 4:16,290.1
10/19/17 4:21,290
10/19/17 4:26,289.9
10/19/17 4:31,289.9
10/19/17 4:36,289.8
10/19/17 4:41,289.8
10/19/17 4:46,289.7
10/19/17 4:51,289.7
10/19/17 4:56,289.6
10/19/17 5:00,289.6
10/19/17 5:05,289.5
10/19/17 5:10,289.5
10/19/17 5:15,289.4
10/19/17 5:20,289.4
10/19/17 5:25,289.3
10/19/17 5:30,289.3
10/19/17 5:35,289.2
10/19/17 5:40,289.2
10/19/17 5:44,289.1
10/19/17 5:49,289.1
10/19/17 5:54,289
10/19/17 5:59,289
10/19/17 6:04,288.9
10/19/17 6:09,288.9
10/19/17 6:14,288.8
10/19/17 6:19,288.8
10/19/17 6:24,288.7
10/19/17 6:28,288.7
10/19/17 6:33,288.6
10/19/17 6:38,288.6
10/19/17 6:43,288.5
10/19/17 6:48,288.5
10/19/17 6:53,288.4
10/19/17 6:58,288.4
10/19/17 7:03,288.3
10/19/17 7:08,288.3
10/19/17 7:12,288.2
10/19/17 7:17,288.2
10/19/17 7:22,288.1
10/19/17 7:27,288.1
10/19/17 7:32,288
10/19/17 7:37,288
10/19/17 7:42,287.9
10/19/17 7:47,287.9
10/19/17 7:52,287.8
