latitude,longitude,sand,clay,L,a,b,textural_class
38.71552,-97.43671,18.5,30.2,42.4,6.1,11.6,Silty clay loam
38.71768,-97.43611,24.3,28.1,43.8,5.9,11.8,Clay loam
38.71686,-97.43662,18.6,30.9,42.7,5.8,11,Silty clay loam
38.71592,-97.43618,16.6,32.2,43.7,5.7,11.3,Silty clay loam
38.71641,-97.43519,33.7,26.6,46.3,6.5,13.8,Loam
38.71769,-97.43448,45.6,20.6,46.5,7.7,15.4,Loam
38.71762,-97.43505,40.7,21.6,47.9,7.6,15,Loam
38.7155,-97.43666,13.4,33.5,43.5,5.4,10.9,Silty clay loam
38.71645,-97.43517,31.6,23,45,7,14.3,Loam
38.7173,-97.43571,18.2,29.6,41.4,5.6,11.1,Silty clay loam
38.71798,-97.43631,13.1,29.8,43.4,5.7,11.2,Silty clay loam
38.7159,-97.4365,23.5,32.7,42.9,6.9,13.9,Clay loam
38.71793,-97.43349,36.9,21.9,44.9,7.1,14.3,Loam
38.71794,-97.43382,24.7,31.1,45,6.1,13.8,Clay loam
38.71794,-97.43433,37.1,31.1,47.4,8.1,17.8,Clay loam
38.71684,-97.43351,18.6,24.5,42.3,5.7,12.4,Silt loam
38.71798,-97.43597,30,28.1,43.5,7.6,14.9,Clay loam
38.71648,-97.43623,17.9,28.3,44.2,5.9,11.7,Silty clay loam
38.71725,-97.43467,35,20.3,45.6,7.1,14.3,Loam
38.71725,-97.43413,44.5,15.2,45.5,7.2,14.3,Loam
38.71593,-97.43671,18.6,25.8,43.7,6,11.7,Silt loam
38.71593,-97.43455,34.4,19,45.1,6.7,14.3,Loam
38.71684,-97.43556,30,23,43.3,5.9,12,Loam
38.71679,-97.43398,40.1,19,45.6,7.1,14.5,Loam
38.71722,-97.4335,33.9,25.6,46.9,6.4,13.6,Loam
38.71549,-97.43576,21.7,28.1,42.8,6,11.6,Clay loam
38.71634,-97.43359,38.2,17.8,45.1,6.6,13.6,Loam
38.71594,-97.43512,26.3,29.6,46.6,6.7,14.7,Clay loam
38.7168,-97.43452,35.6,21.6,47.5,7.4,15.8,Loam
38.71637,-97.43411,46.4,17.8,45,7.3,14.7,Loam
38.7164,-97.43465,45.1,19,46.6,7.2,14.8,Loam
38.71651,-97.43664,26.2,26.8,42.5,5.8,11.5,Loam
38.71685,-97.4361,23,28.1,42.9,5.7,11.5,Clay loam
38.71725,-97.43575,29.4,23,44.4,5.9,11.9,Loam
38.71766,-97.43558,31.9,23,45,6.2,12.8,Loam
